Date,Open,High,Low,Close,Volume
2025-05-21,12.13,12.36,11.38,11.53,1253907.0
2025-05-22,11.63,13.2,11.33,12.71,2377970.0
2025-05-23,12.53,13.15,12.31,13.0,1642606.0
2025-05-27,13.59,16.47,13.33,15.93,5476538.0
2025-05-28,16.0,16.56,15.2,15.49,2030679.0
2025-05-29,15.97,16.1842,14.29,14.43,1864345.0
2025-05-30,14.06,14.7299,13.8,14.31,1871257.0
2025-06-02,14.15,14.31,13.4401,13.93,1355242.0
2025-06-03,14.2,15.31,14.2,14.84,2074519.0
2025-06-04,15.395,18.051,15.16,17.02,6077628.0
2025-06-05,16.91,17.9,16.3,17.68,3974893.0
2025-06-06,17.79,18.6,17.56,18.45,2292710.0
2025-06-09,19.4,22.25,18.5707,19.96,5723195.0
2025-06-10,20.29,20.6974,17.54,18.18,3852289.0
2025-06-11,18.41,20.11,18.15,20.06,2965615.0
2025-06-12,19.7,19.94,18.86,19.32,1922981.0
2025-06-13,18.48,20.34,18.01,19.08,2664058.0
2025-06-16,19.7,20.57,19.24,20.57,2597085.0
2025-06-17,17.1,17.7,16.12,16.7,17292146.0
2025-06-18,16.8,17.1,16.26,16.61,3819510.0
2025-06-20,16.76,16.9897,15.8,15.86,5653516.0
2025-06-23,15.75,16.1299,14.76,15.36,4670380.0
2025-06-24,16.12,17.0,15.7361,16.53,4598648.0
2025-06-25,16.9,16.9,15.81,16.02,2786135.0
2025-06-26,15.89,17.57,15.89,16.96,3872123.0
2025-06-27,16.99,17.1397,15.9,16.12,5457806.0
2025-06-30,16.6,16.8,16.05,16.3,2502469.0
2025-07-01,16.18,16.45,15.09,15.31,3912744.0
2025-07-02,15.44,15.84,15.1764,15.6,2182362.0
2025-07-03,15.6,16.193,15.53,15.99,1565267.0
2025-07-07,16.171,16.3,15.15,15.48,3223852.0
2025-07-08,15.69,16.15,14.71,15.15,3930213.0
2025-07-09,15.4,15.88,14.84,15.78,3371523.0
2025-07-10,15.87,15.95,15.0202,15.65,3729242.0
2025-07-11,15.72,17.4,15.66,16.64,5460851.0
2025-07-14,16.8,17.98,16.26,17.73,5249595.0
2025-07-15,18.2,18.24,16.98,16.98,5708881.0
2025-07-16,17.5,17.74,16.55,17.5,4275230.0
2025-07-17,17.7,19.17,17.61,19.09,5994866.0
2025-07-18,19.28,19.5599,18.53,19.41,4265990.0
2025-07-21,20.23,20.33,17.34,17.37,6471115.0
2025-07-22,17.31,17.31,15.8801,16.36,4757969.0
2025-07-23,16.79,16.97,16.29,16.92,3306857.0
2025-07-24,16.805,16.805,15.95,16.02,2940466.0
2025-07-25,15.99,16.2399,15.42,16.07,2976198.0
2025-07-28,16.37,16.51,15.25,15.47,2629085.0
2025-07-29,15.44,15.6,14.03,14.46,4877965.0
2025-07-30,14.56,14.8795,13.71,14.06,3593143.0
2025-07-31,14.17,14.7099,13.96,14.29,2750792.0
2025-08-01,13.61,14.21,13.1,13.87,3124996.0
2025-08-04,14.14,15.24,13.95,14.77,4769778.0
2025-08-05,15.12,15.73,14.28,14.71,4199410.0
2025-08-06,14.41,14.58,13.52,13.7,6572579.0
2025-08-07,10.99,11.35,9.405,9.47,19921219.0
2025-08-08,9.33,9.65,8.91,8.99,10032242.0
2025-08-11,9.01,9.23,8.65,8.82,6186027.0
2025-08-12,8.92,9.6197,8.65,9.42,6619875.0
2025-08-13,9.7,9.77,9.01,9.66,4984727.0
2025-08-14,9.41,9.62,9.0174,9.09,4045027.0
2025-08-15,9.06,9.07,8.76,8.94,3702222.0
2025-08-18,8.75,9.28,8.43,9.04,4613595.0
2025-08-19,8.97,8.99,8.66,8.84,3757774.0
2025-08-20,8.77,8.8432,8.1811,8.7,3930374.0
2025-08-21,8.71,8.82,8.55,8.7,1851513.0
2025-08-22,8.68,9.18,8.61,9.1,3243438.0
2025-08-25,9.0,9.38,8.8,8.94,2696903.0
2025-08-26,8.92,9.38,8.9,9.29,2708643.0
2025-08-27,9.27,9.32,8.93,8.99,3030117.0
2025-08-28,9.17,9.43,9.01,9.2,4478308.0
2025-08-29,9.11,9.2,8.75,8.91,3067685.0
2025-09-02,8.64,9.005,8.53,8.92,2461829.0
2025-09-03,8.9,8.9797,8.3,8.32,3708521.0
2025-09-04,8.43,8.43,8.06,8.21,3353344.0
2025-09-05,8.34,8.49,8.11,8.32,2198962.0
2025-09-08,8.37,8.54,8.23,8.39,1964329.0
2025-09-09,8.27,8.3398,8.08,8.16,2033805.0
2025-09-10,8.21,8.5,8.13,8.23,2683308.0
2025-09-11,8.2,8.74,8.2,8.45,3133911.0
2025-09-12,8.52,8.85,8.52,8.69,2725717.0
2025-09-15,9.15,9.42,8.7,9.06,4790877.0
2025-09-16,9.46,9.6,8.89,9.0,4306461.0
2025-09-17,8.05,8.15,7.77,7.87,21971329.0
2025-09-18,8.04,8.2799,7.92,8.01,8461799.0
2025-09-19,8.11,8.25,7.925,7.95,10077885.0
2025-09-22,7.94,8.13,7.77,8.11,6692914.0
2025-09-23,8.21,9.35,8.17,9.22,13396951.0
2025-09-24,9.75,10.06,9.23,9.35,12528650.0
2025-09-25,9.01,9.45,8.675,8.96,8589518.0
2025-09-26,9.01,9.17,8.58,8.83,5127582.0
2025-09-29,9.04,9.21,8.87,8.93,6983037.0
2025-09-30,8.83,9.0,8.58,8.99,5226365.0
2025-10-01,8.81,9.245,8.72,9.16,5793906.0
2025-10-02,9.27,10.45,9.26,10.36,12086122.0
2025-10-03,10.82,10.98,10.375,10.73,11599178.0
2025-10-06,11.48,11.8496,11.07,11.22,9277623.0
2025-10-07,11.3,11.39,10.54,10.97,9686404.0
2025-10-08,10.19,10.28,9.66,9.79,17265591.0
2025-10-09,9.83,10.07,9.44,9.65,10320587.0
2025-10-10,9.52,9.61,8.72,8.74,15312201.0
2025-10-13,8.89,9.08,8.725,9.06,6666442.0
2025-10-14,8.85,9.81,8.62,9.54,10435681.0
2025-10-15,9.79,9.91,8.76,8.94,10237478.0
2025-10-16,8.951,9.3,8.49,8.55,7297906.0
2025-10-17,8.41,8.62,7.885,7.97,9264032.0
2025-10-20,8.18,8.32,8.0,8.25,5874031.0
2025-10-21,8.2,8.255,7.89,7.97,6606067.0
2025-10-22,7.75,7.9,7.44,7.64,8968322.0
2025-10-23,7.79,8.01,7.68,7.74,4773897.0
2025-10-24,8.02,8.21,7.95,8.0,5503942.0
2025-10-27,8.45,8.48,8.015,8.24,4561730.0
2025-10-28,8.34,8.39,7.83,7.85,4518015.0
2025-10-29,7.88,8.135,7.76,7.85,4506543.0
2025-10-30,7.67,7.925,7.5701,7.64,4408162.0
2025-10-31,7.77,7.9399,7.64,7.87,4886054.0
2025-11-03,7.8,7.8086,7.25,7.37,5678346.0
2025-11-04,7.04,7.19,6.85,6.95,5788648.0
2025-11-05,6.98,7.445,6.9,7.3,8387304.0
2025-11-06,6.49,6.72,5.87,5.98,14428666.0
2025-11-07,5.72,6.67,5.72,6.56,6557989.0
2025-11-10,6.56,6.6686,5.98,6.17,6214956.0
2025-11-11,6.33,6.42,6.01,6.13,6114282.0
2025-11-12,6.21,6.34,5.85,5.97,5256543.0
2025-11-13,5.99,6.09,5.53,5.56,5981601.0
2025-11-14,5.37,5.61,5.31,5.41,4994997.0
2025-11-17,5.39,5.64,5.32,5.47,5164792.0
2025-11-18,5.33,5.515,5.15,5.43,4903359.0
2025-11-19,5.81,6.11,5.415,5.48,11016090.0
2025-11-20,5.59,5.75,5.03,5.06,7336554.0
2025-11-21,5.06,5.405,4.87,5.3,5634864.0
2025-11-24,5.36,5.42,5.12,5.39,5032206.0
2025-11-25,5.34,5.43,5.235,5.41,3581749.0
2025-11-26,5.44,5.495,5.3338,5.37,3712640.0
2025-11-28,5.43,5.58,5.39,5.51,2637938.0
2025-12-01,5.31,5.34,5.12,5.12,3862002.0
2025-12-02,5.17,5.43,5.14,5.22,3887864.0
2025-12-03,5.22,5.58,5.18,5.57,3895290.0
2025-12-04,5.64,6.245,5.55,6.14,7018938.0
2025-12-05,6.14,6.5,6.09,6.39,6051256.0
2025-12-08,6.585,7.03,6.36,6.82,12917768.0
2025-12-09,6.795,7.38,6.61,7.29,12434318.0
2025-12-10,7.23,7.62,6.75,7.48,19614533.0
2025-12-11,7.4,7.75,7.01,7.67,15111379.0
2025-12-12,7.78,8.2,7.19,7.29,12892593.0
2025-12-15,7.54,7.75,6.58,6.89,13320531.0
2025-12-16,6.66,6.84,6.32,6.59,7958274.0
2025-12-17,6.78,7.02,6.34,6.44,7792006.0
2025-12-18,6.95,7.48,6.93,7.02,14522566.0
2025-12-19,7.3,8.4,7.2,8.0,35334807.0
2025-12-22,8.52,8.84,8.16,8.52,25488569.0
2025-12-23,8.17,8.99,7.91,8.01,15972814.0
2025-12-24,8.3,8.5799,7.54,7.82,9799274.0
2025-12-26,7.82,7.8499,7.0801,7.15,12291368.0
2025-12-29,7.0,7.34,6.9,7.0,9509040.0
2025-12-30,7.17,8.09,7.17,7.94,20703751.0
2025-12-31,7.965,7.965,7.46,7.6,12822520.0
2026-01-02,7.92,9.155,7.5579,9.03,24730520.0
2026-01-05,9.204,10.565,9.05,10.26,28271904.0
2026-01-06,10.175,10.77,10.01,10.64,20592769.0
2026-01-07,10.523,10.523,9.64,9.83,23668553.0
2026-01-08,10.03,10.88,9.91,10.28,21224970.0
2026-01-09,10.575,11.375,10.03,10.98,25624691.0
2026-01-12,11.32,11.83,10.15,10.66,32314759.0
2026-01-13,10.73,11.08,9.98,10.14,19392310.0
2026-01-14,9.9,11.07,9.6692,11.02,26838078.0
2026-01-15,10.72,11.425,10.51,10.86,26016981.0
2026-01-16,11.15,12.455,10.59,11.71,44515258.0
2026-01-20,11.0,11.56,10.5,10.66,32001670.0
2026-01-21,11.11,11.34,9.51,10.2,32473774.0
2026-01-22,10.53,12.34,10.4,11.98,33777098.0
2026-01-23,12.83,13.7393,12.33,12.52,50520265.0
2026-01-26,12.6,12.6,10.68,10.96,38187943.0
2026-01-27,12.225,14.55,11.73,14.2,96120613.0
2026-01-28,13.78,13.9,12.861,13.29,54363535.0
2026-01-29,13.59,13.6,12.28,12.81,39173488.0
2026-01-30,13.0,14.09,11.41,11.75,42743243.0
2026-02-02,11.71,11.73,10.83,10.88,28840689.0
2026-02-03,11.445,11.45,10.6,11.26,29904798.0
2026-02-04,11.2,11.203,9.57,10.03,29368617.0
2026-02-05,9.605,10.05,8.6501,8.8,28095210.0
2026-02-06,9.21,10.145,8.815,10.04,26432249.0
2026-02-09,9.86,10.4,9.81,10.09,22784824.0
2026-02-10,9.94,10.03,9.37,9.38,17245676.0
2026-02-11,9.48,9.48,8.59,9.01,20920857.0
2026-02-12,8.875,8.89,7.81,7.89,23187004.0
2026-02-13,8.13,8.495,7.65,8.02,16668375.0
2026-02-17,7.77,8.14,7.525,8.0,14217383.0
2026-02-18,8.14,8.68,8.03,8.4,15398517.0
2026-02-19,8.16,8.63,7.97,8.6,12455020.0
2026-02-20,8.49,8.85,7.97,7.99,13508716.0
2026-02-23,7.77,8.15,7.67,8.12,10316213.0
2026-02-24,8.04,8.45,7.79,8.42,9855398.0
2026-02-25,8.36,8.68,8.16,8.62,15219093.0
2026-02-26,8.6,9.8,8.51,9.55,30025597.0
2026-02-27,9.27,9.5355,8.53,9.07,16101208.0
2026-03-02,9.04,10.4,9.04,9.52,24243969.0
2026-03-03,9.16,9.37,8.56,8.95,16467343.0
2026-03-04,9.05,9.365,8.825,9.28,13699105.0
2026-03-05,9.2,9.519,8.67,9.07,13822191.0
2026-03-06,8.79,9.45,8.48,8.55,17902401.0
2026-03-09,8.71,9.68,8.64,9.65,20812788.0
2026-03-10,9.5,9.7,9.16,9.23,12206683.0
2026-03-11,9.35,9.825,9.15,9.46,14496726.0
2026-03-12,9.32,9.7099,9.04,9.48,15612382.0
2026-03-13,9.6,10.01,9.3401,9.59,14567060.0
2026-03-16,9.97,10.18,9.21,9.54,14194107.0
2026-03-17,9.58,10.3099,9.54,10.13,18435754.0
2026-03-18,9.88,10.07,9.545,9.55,12233049.0
2026-03-19,9.36,9.895,9.02,9.63,13069222.0
2026-03-20,9.67,10.05,8.935,9.2,21993769.0
2026-03-23,9.05,9.65,8.715,9.38,18930895.0
2026-03-24,9.35,9.79,9.0,9.05,20970390.0
2026-03-25,9.35,10.02,9.0,9.16,36576534.0
2026-03-26,8.9,9.315,8.74,8.87,17919639.0
2026-03-27,8.74,8.84,8.11,8.16,17435905.0
2026-03-30,8.19,8.2499,7.43,7.71,17349038.0
2026-03-31,7.855,8.63,7.825,8.5,15963672.0
2026-04-01,8.75,9.48,8.71,9.08,18512471.0
2026-04-02,8.68,9.94,8.61,9.73,28420961.0
2026-04-06,9.64,10.06,9.6,9.91,17241794.0
2026-04-07,9.79,9.96,9.01,9.65,17314274.0
2026-04-08,10.38,10.57,9.29,9.61,22496949.0
2026-04-09,9.53,9.76,9.1,9.22,12846563.0
2026-04-10,9.45,9.71,9.06,9.29,14313381.0
2026-04-13,9.18,10.15,9.06,9.99,15944979.0
2026-04-14,10.5,10.54,9.46,9.81,22540733.0
2026-04-15,9.84,9.94,9.45,9.91,16841125.0
2026-04-16,10.22,11.3,9.93,11.22,34253368.0
2026-04-17,11.15,11.38,10.3,10.34,24983687.0
2026-04-20,10.34,10.65,9.98,10.21,22030463.0
2026-04-21,10.36,10.99,10.0807,10.31,30129983.0
2026-04-22,10.73,12.3,10.73,11.93,48398330.0
2026-04-23,11.07,11.18,9.68,10.04,54697457.0
2026-04-24,10.28,10.29,9.53,9.68,26340454.0
2026-04-27,9.66,9.69,9.02,9.33,24251900.0
2026-04-28,9.11,9.24,8.83,9.04,16862793.0
2026-04-29,8.98,8.99,8.47,8.6,14758009.0
2026-04-30,8.805,9.39,8.69,9.19,14381562.0
2026-05-01,9.29,9.56,8.85,9.34,14867495.0
2026-05-04,9.14,9.24,8.6,8.64,22718069.0
2026-05-05,8.88,9.04,8.3,8.69,22599123.0
2026-05-06,8.815,9.76,8.65,9.64,31128063.0
2026-05-07,9.35,10.08,8.85,9.2,32006983.0
2026-05-08,9.41,11.11,9.36,11.07,56024004.0
2026-05-11,11.015,12.87,10.765,12.16,47387400.0
2026-05-12,11.8,12.37,11.03,11.56,27630667.0
2026-05-13,11.79,11.79,10.91,11.46,29642058.0
2026-05-14,11.955,14.6,11.88,13.99,67858362.0
2026-05-15,13.73,14.57,13.46,14.06,53551973.0
2026-05-18,15.39,15.82,12.97,13.96,82616116.0
2026-05-19,13.745,14.46,12.86,13.91,53682761.0
2026-05-20,14.015,15.12,13.332,14.77,52724502.0
2026-05-21,14.5,15.385,13.5433,15.35,44693405.0
2026-05-22,15.72,17.89,15.7,17.49,55447729.0
2026-05-26,19.645,23.1,19.2,22.04,108331416.0
2026-05-27,24.31,24.9199,22.13,24.0,121289224.0
2026-05-28,22.94,26.64,22.81,25.9,86741495.0
2026-05-29,23.89,24.79,21.665,24.57,64625335.0
2026-06-01,22.6,22.77,20.3,20.68,57167517.0
2026-06-02,20.98,22.1499,20.3,20.58,36395225.0
2026-06-03,19.5,20.01,18.27,18.62,41623438.0
2026-06-04,19.3,22.75,18.7901,21.43,74962974.0
2026-06-05,20.8,21.19,17.62,18.45,54050034.0
2026-06-08,19.36,19.57,18.1,18.57,33480478.0
2026-06-09,17.0,18.03,14.76,15.75,69151608.0
2026-06-10,15.75,15.75,15.75,15.75,0.0
